agency_id,agency_name,agency_url,agency_timezone,agency_lang,agency_phone
69,"Airisto Line Oy",http://www.airistoline.fi/,Europe/Helsinki,fi,
16,"Turkubus Oy",http://www.turkubus.fi/,Europe/Helsinki,fi,
66,"J&M Launokorpi Oy",http://www.launokorpi.com/fi/matkat/,Europe/Helsinki,fi,
27,"Turun Citybus Oy",http://www.citybus.fi/,Europe/Helsinki,fi,
2,"Turun Linja-autoilijain Osakeyhtiö",http://tlo.fi/,Europe/Helsinki,fi,
20,"Linjaliikenne Nyholm Oy",http://www.linjaliikennenyholm.fi/,Europe/Helsinki,fi,
11,"Savonlinja Oy/SL-Autolinjat",http://www.savonlinja.fi/,Europe/Helsinki,fi,
1,"FÖLI Turun seudun joukkoliikenne",http://www.foli.fi,Europe/Helsinki,fi,
6,"Jalobus Oy",http://www.jalobus.fi/,Europe/Helsinki,fi,
3,"LS-Liikennelinjat Oy",http://www.linjaliikennemuurinen.fi/,Europe/Helsinki,fi,
55,"V-S Bussipalvelut Oy",http://www.linjaliikennenyholm.fi/,Europe/Helsinki,fi,
8,"Turun Kaupunkiliikenne Oy",https://www.turku.fi/toimipaikat/turun-kaupunkiliikenne-oy,Europe/Helsinki,fi,
41,"Länsilinjat Oy",http://www.lansilinjat.fi/,Europe/Helsinki,fi,
28,"Liikenne Vesma Oy",http://www.vesma.fi/,Europe/Helsinki,fi,
68,"I & T Päivölä Oy",http://www.päivölä.com/linjaliikenne,Europe/Helsinki,fi,
18,"Linjaliikenne Muurinen Oy",http://www.linjaliikennemuurinen.fi/,Europe/Helsinki,fi,
67,"J. Vainion Liikenne Oy",http://www.vainionliikenne.fi/fi,Europe/Helsinki,fi,

