service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
JYO4,0,0,0,0,0,0,0,20171030,20171223
ITYO7,0,0,0,0,0,0,0,20171030,20171223
NAA1,0,0,0,0,0,0,0,20171030,20171223
PYHY17,0,0,0,0,0,0,0,20171030,20171223
Kristus2,0,0,0,0,0,0,0,20171030,20171223
PYHY1,0,0,0,0,0,0,0,20171030,20171223
TPS-KK1,0,0,0,0,0,0,0,20171030,20171223
PYHY16,0,0,0,0,0,0,0,20171030,20171223
JYO12,0,0,0,0,0,0,0,20171030,20171223
ValonAika4,0,0,0,0,0,0,0,20171030,20171223
JYO8,0,0,0,0,0,0,0,20171030,20171223
ITYO4,0,0,0,0,0,0,0,20171030,20171223
PYHY5,0,0,0,0,0,0,0,20171030,20171223
S:PYyha,0,0,0,0,0,0,0,20171030,20171223
VENE2,0,0,0,0,0,0,0,20171030,20171223
TPS13,0,0,0,0,0,0,0,20171030,20171223
JYO10,0,0,0,0,0,0,0,20171030,20171223
TPS6,0,0,0,0,0,0,0,20171030,20171223
NAA2,0,0,0,0,0,0,0,20171030,20171223
ITYO21,0,0,0,0,0,0,0,20171030,20171223
PYHY18,0,0,0,0,0,0,0,20171030,20171223
PYHY4,0,0,0,0,0,0,0,20171030,20171223
A:Arki,0,0,0,0,0,0,0,20171030,20171223
PYHY15,0,0,0,0,0,0,0,20171030,20171223
ITYO23,0,0,0,0,0,0,0,20171030,20171223
Rotukis1,0,0,0,0,0,0,0,20171030,20171223
RAVI2,0,0,0,0,0,0,0,20171030,20171223
LIE3,0,0,0,0,0,0,0,20171030,20171223
ITYO9,0,0,0,0,0,0,0,20171030,20171223
TPS12,0,0,0,0,0,0,0,20171030,20171223
PYHY9,0,0,0,0,0,0,0,20171030,20171223
TPS10,0,0,0,0,0,0,0,20171030,20171223
TUKL1,0,0,0,0,0,0,0,20171030,20171223
PYHY14,0,0,0,0,0,0,0,20171030,20171223
ITYO24,0,0,0,0,0,0,0,20171030,20171223
JYO9,0,0,0,0,0,0,0,20171030,20171223
ITYO1,0,0,0,0,0,0,0,20171030,20171223
ITYO10,0,0,0,0,0,0,0,20171030,20171223
MAAT9,0,0,0,0,0,0,0,20171030,20171223
TPS2,0,0,0,0,0,0,0,20171030,20171223
PYHY6,0,0,0,0,0,0,0,20171030,20171223
PYHY22,0,0,0,0,0,0,0,20171030,20171223
TPS9,0,0,0,0,0,0,0,20171030,20171223
SamiHed1,0,0,0,0,0,0,0,20171030,20171223
VENE4,0,0,0,0,0,0,0,20171030,20171223
ITYO6,0,0,0,0,0,0,0,20171030,20171223
Rekry1,0,0,0,0,0,0,0,20171030,20171223
JYO7,0,0,0,0,0,0,0,20171030,20171223
L:Lauantai,0,0,0,0,0,0,0,20171030,20171223
PYHY19,0,0,0,0,0,0,0,20171030,20171223
TPS3,0,0,0,0,0,0,0,20171030,20171223
ITYO19,0,0,0,0,0,0,0,20171030,20171223
ITYO12,0,0,0,0,0,0,0,20171030,20171223
TPS5,0,0,0,0,0,0,0,20171030,20171223
ITYO20,0,0,0,0,0,0,0,20171030,20171223
MAAT10,0,0,0,0,0,0,0,20171030,20171223
KAA1,0,0,0,0,0,0,0,20171030,20171223
KAA3,0,0,0,0,0,0,0,20171030,20171223
MAAT6,0,0,0,0,0,0,0,20171030,20171223
SamiHed4,0,0,0,0,0,0,0,20171030,20171223
PYHY3,0,0,0,0,0,0,0,20171030,20171223
JYO3,0,0,0,0,0,0,0,20171030,20171223
KAKS2,0,0,0,0,0,0,0,20171030,20171223
MAAT5,0,0,0,0,0,0,0,20171030,20171223
MAAT8,0,0,0,0,0,0,0,20171030,20171223
Joulu2,0,0,0,0,0,0,0,20171030,20171223
KAA4,0,0,0,0,0,0,0,20171030,20171223
ITYO13,0,0,0,0,0,0,0,20171030,20171223
ITS1,0,0,0,0,0,0,0,20171030,20171223
ValonAika3,0,0,0,0,0,0,0,20171030,20171223
PYHY2,0,0,0,0,0,0,0,20171030,20171223
PYHY10,0,0,0,0,0,0,0,20171030,20171223
MAAT2,0,0,0,0,0,0,0,20171030,20171223
TPS8,0,0,0,0,0,0,0,20171030,20171223
JYO11,0,0,0,0,0,0,0,20171030,20171223
SamiHed7,0,0,0,0,0,0,0,20171030,20171223
SamiHed2,0,0,0,0,0,0,0,20171030,20171223
JYO5,0,0,0,0,0,0,0,20171030,20171223
ITYO18,0,0,0,0,0,0,0,20171030,20171223
TPS11,0,0,0,0,0,0,0,20171030,20171223
Kristus1,0,0,0,0,0,0,0,20171030,20171223
JYO2,0,0,0,0,0,0,0,20171030,20171223
JYO1,0,0,0,0,0,0,0,20171030,20171223
ValonAika2,0,0,0,0,0,0,0,20171030,20171223
TPS-KK2,0,0,0,0,0,0,0,20171030,20171223
PYHY7,0,0,0,0,0,0,0,20171030,20171223
RAVI1,0,0,0,0,0,0,0,20171030,20171223
KAKS1,0,0,0,0,0,0,0,20171030,20171223
PYHY23,0,0,0,0,0,0,0,20171030,20171223
Joulu1,0,0,0,0,0,0,0,20171030,20171223
SamiHed5,0,0,0,0,0,0,0,20171030,20171223
ITS2,0,0,0,0,0,0,0,20171030,20171223
VENE3,0,0,0,0,0,0,0,20171030,20171223
MAAT3,0,0,0,0,0,0,0,20171030,20171223
TPS1,0,0,0,0,0,0,0,20171030,20171223
PYHY13,0,0,0,0,0,0,0,20171030,20171223
ITYO15,0,0,0,0,0,0,0,20171030,20171223
ITS3,0,0,0,0,0,0,0,20171030,20171223
ITYO11,0,0,0,0,0,0,0,20171030,20171223
PYHY24,0,0,0,0,0,0,0,20171030,20171223
ITYO14,0,0,0,0,0,0,0,20171030,20171223
PYHY12,0,0,0,0,0,0,0,20171030,20171223
MAAT4,0,0,0,0,0,0,0,20171030,20171223
PYHY20,0,0,0,0,0,0,0,20171030,20171223
PYHY11,0,0,0,0,0,0,0,20171030,20171223
Kristus3,0,0,0,0,0,0,0,20171030,20171223
ITYO17,0,0,0,0,0,0,0,20171030,20171223
ITYO5,0,0,0,0,0,0,0,20171030,20171223
TPS4,0,0,0,0,0,0,0,20171030,20171223
ITYO3,0,0,0,0,0,0,0,20171030,20171223
P:Perjantai,0,0,0,0,0,0,0,20171030,20171223
MAAT1,0,0,0,0,0,0,0,20171030,20171223
ITYO22,0,0,0,0,0,0,0,20171030,20171223
ITYO8,0,0,0,0,0,0,0,20171030,20171223
KAA2,0,0,0,0,0,0,0,20171030,20171223
ITYO16,0,0,0,0,0,0,0,20171030,20171223
PYHY21,0,0,0,0,0,0,0,20171030,20171223
SamiHed3,0,0,0,0,0,0,0,20171030,20171223
ITYO2,0,0,0,0,0,0,0,20171030,20171223
SamiHed6,0,0,0,0,0,0,0,20171030,20171223
PYHY8,0,0,0,0,0,0,0,20171030,20171223
KORP1,0,0,0,0,0,0,0,20171030,20171223
VENE1,0,0,0,0,0,0,0,20171030,20171223
ValonAika1,0,0,0,0,0,0,0,20171030,20171223
JYO6,0,0,0,0,0,0,0,20171030,20171223
MAAT7,0,0,0,0,0,0,0,20171030,20171223
